Name,Province,Sector,Amount
Disabled People of South Africa ,National Bodies,"ARTS, CULTURE AND NATIONAL HERITAGE",834200
Border Rural Committee: Chatha Communal Property Assoc. ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",980000
Buffalo City Municipality ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",4468570
Camdeboo Municipality ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",519500
Centenary Hall Promotions ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",340000
East London Guild Theatre ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",1878844
East London Guild Theatre ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",435648
Eastern Cape Provincial Arts & Culture Council ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",720000
Eastern Cape Provincial Arts & Culture Council ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",547500
Ezethu Skills Development Centre ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",200000
First Physical Theatre Company ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",390864
Graaf Reinet Museum ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",655000
Help Our People Excel Foundation ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",268638
Ikhwezi Empowerment & Tender Advice Centre ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",2310781
Mopo Cultural Trust ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",412900
National Arts Festival Grahamstown ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",11025000
Nelson Mandela Metropolitan Municipality Bethelsdorp ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",790000
Nhlapho Sibanda Heritage Arts & Culture ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",2800000
Sizabantu Community Arts & Craft Centre ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",660499
Sizabantu Community Arts & Crafts ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",106420
Transkei Land Services Organisation TRAILSO ,Eastern Cape,"ARTS, CULTURE AND NATIONAL HERITAGE",835475
Flavius Mareka Public F.E.T. College ,Free State,"ARTS, CULTURE AND NATIONAL HERITAGE",134228
Hlanganani Kopanang Theatre ,Free State,"ARTS, CULTURE AND NATIONAL HERITAGE",1339689
Jala Peo Trust ,Free State,"ARTS, CULTURE AND NATIONAL HERITAGE",228000
Thabong Arts & Culture Centre ,Free State,"ARTS, CULTURE AND NATIONAL HERITAGE",838500
African Cultural Heritage Trust Zindala Zombili ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",1900000
Aggrey Klaaste Nation Building ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",3993000
Applied Broadcasting Centre ABC ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",480000
Artists Against Abuse ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",600000
Artists Against Abuse (Peace of Music Project) ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",529780
Atteridgeville Renaissance ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",774000
Black Tie Ensemble ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",600000
Bona Art Assembly ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",163500
Botsotso ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",414008
Cantare Children's Choir ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",1280000
Children & Broadcasting Foundation for Africa ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",600000
Colla Voce Youth Choir Foundation ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",684884
Conquest for Life ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",1619000
CSC Intsika Skills Benefication Project ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",660000
Enterprise SA Tshwane Arts & Crafts ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",900000
Film Resource Unit ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",5000000
Food & Trees for Africa ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",1720000
Forgotten Angle on behalf Dance Factory ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Francina Against Children & Women Abuse ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",345700
Imbali Visual Literacy ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",998000
International African Music & Film Hall of Fame ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",500000
Jazz Foundation of South Africa ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",2250000
Johannesburg Festival Orchestra JFO ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",6000000
Johannesburg Youth Orchestra Company ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",387000
Johannesburg Youth Orchestra Company ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",1000000
Johannesburg Youth Theatre Trust ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",3160000
Lekwa Communications Gauteng North Chamber of Commerce ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",379895
Liliesleaf Trust ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",2900000
Living Heritage Association ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",800000
Lutheran Community Outreach Foundation ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",740000
Mamelodi Theatre Organisation ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",795000
Mamelodi Theatre Organisation ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",619065
Molteno Project ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",553850
Motswako Performing Artists ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",315000
Motswako Performing Artists ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",950000
Motswako Performing Artists: Soul Fix Community Projects ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",376000
Music Academy of Gauteng ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",6762212
National Library of South Africa ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",822000
National School of the Arts ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",1710000
National School of the Arts ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",5142000
National Youth Development Outreach ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",3312000
Ochrim Music School ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",120000
PEACE Foundation in part Mogoshi Youth Brass Band ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",609115
Performing Arts Network of SA ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",1786000
Radio Veritas ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",170000
SA Screenwriters Laboratory Trust SCRAWL ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",1566860
SA State Theatre ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",3000000
Northern Flagship Institution: Sammy Marks Museum ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",385000
Sibikwa Community Theatre Project ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",422720
Sibikwa Community Theatre Project ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",471942
Sithuthuka Sisonke Drama Players ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",119700
Sithuthuka Sisonke Drama Players ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",600000
Siyavuka Lateral Improvement Foundation ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",400000
SOS Children's Village ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",120000
South African Apartheid Museum ,Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE",1585000
