Name,Province,Sector,Amount
1 African Cultural Heritage Trust,National Bodies,"ARTS, CULTURE & NATIONAL HERITAGE",3800000
2 Botanical Society of South Africa,National Bodies,"ARTS, CULTURE & NATIONAL HERITAGE",1500000
3 Girl Guides Association of South Africa,National Bodies,"ARTS, CULTURE & NATIONAL HERITAGE",874000
4 The South African National Circus School Trust,National Bodies,"ARTS, CULTURE & NATIONAL HERITAGE",310640
5 Zakheni South Africa Music Trust,National Bodies,"ARTS, CULTURE & NATIONAL HERITAGE",2400000
1 Mopo Cultural Trust (Umzi Afrika Theatre Company),Eastern Cape,"ARTS, CULTURE & NATIONAL HERITAGE",611960
2 SAHRA,Eastern Cape,"ARTS, CULTURE & NATIONAL HERITAGE",1000000
3 Sakhingoma Music Productions,Eastern Cape,"ARTS, CULTURE & NATIONAL HERITAGE",753108
4 The Early Learning Centre (Challenge Environmental Centre),Eastern Cape,"ARTS, CULTURE & NATIONAL HERITAGE",5568000
5 The Restoration of Human Abilities Association,Eastern Cape,"ARTS, CULTURE & NATIONAL HERITAGE",475825
1 Cape Town Orchestra (FS Symphony Orchestra),Free State,"ARTS, CULTURE & NATIONAL HERITAGE",605000
2 Northern Free State Community Development,Free State,"ARTS, CULTURE & NATIONAL HERITAGE",1084455
1 ACUMDA,Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",1162270
2 African Flag Pantsula Dance / Music Group,Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",1025200
"3 Association for People with Disabilities, Gauteng",Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",252510
4 Ballet Theatre Afrikan,Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",2000000
5 Birdlife South Africa,Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",300000
6 Black Tie Ensemble,Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",1500000
7 Cluny Farm,Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",346938
8 Curriculum Development Project (Joubert Park),Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",863195
9 Delta Environmental Centre,Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",1218360
10 Environmental Justice Networking Forum,Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",2318000
11 Freedom Park Trust,Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",30247000
12 Gauteng Dance Manyano,Gauteng,"ARTS, CULTURE & NATIONAL HERITAGE",791500
