Name,Sector,Province,Amount
 Arts Education,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,211850
 Disabled Youth South Africa,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,945000
 Eastern Cape Craft Development Initiative,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,500000
 Eastern Cape Eisteddfod,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,150000
 Eastern Cape Philharmonic,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,400000
 First Physical Theatre Company,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,40000
 Imbizo Arts of SA,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,135654
 Siyacoca Recyclers Community Project,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,200000
 Sizabantu Community Arts & Craft Centre,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,200000
 South End Museum Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,460000
 Sukumani Human Resources & Business Service Centre,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,122000
 Ubuntu & Environmental Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",EASTERN CAPE,81000
 Community Performing Hits Company,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",FREE STATE,335000
 Kopano Work Facility,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",FREE STATE,212460
 Mokgahla Thesele,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",FREE STATE,300000
 Mokwena Arts and Culture Group,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",FREE STATE,140000
 Apollo Music Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,60000
 Ballet Theatre Afrikan,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,700000
 Bambanani Art & Culture Heritage Organisation,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,250000
 Beautification of Mamelodi,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,250000
 Concept Specialists,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,350000
 Cosac Educational & Artistic Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,40000
 Curriculum Development Projects for Arts & Culture Education,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,100000
 Dramatists Against Crime,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,800000
 Eco Access,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,117000
 Eco Warriors,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,600000
 Field Band Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,988780
 Film Resource Unit,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,493000
 Fuba School of Music,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,400000
 Funda Community Service,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,1000000
 Fuzebox Productions,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,360000
 Gauteng Youth Artist,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,100000
 Greenhouse People’s Environmental Centre,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,40000
 Hillbrow Community Music,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,136000
 Imfundiso Skills Development,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,448000
 Jabulani Youth Project,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,70000
 Johannesburg Dance Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,73000
 Johannesburg Youth Orchestra Company,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,750000
 Madibeng Women Coalition,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,10000
 Most United Knowledgeable Artists,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,119000
Moving Into Dance Mophatong,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,360000
Museum Africa,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,2200000
Music Academy of Gauteng,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,290000
Musicians Union of South Africa,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,500000
National Eisteddfod Academy,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,72900
Ochrim,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,273000
Oppikoppi,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,120000
Pro Musica Productions,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,1230000
Quadriplegic Association – Gauteng North,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,49100
Reach Out Performing Arts & Theatre Institution,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,65000
Reata Cultural Development Project,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,175000
SA Music Education Trust (SAMET),"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,250000
Sibikwa Community Theatre Project,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,500000
Sithuthuka Sisonke Drama Players,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,186400
Soyikwa Institute of African Theatre,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,450000
Sparrow School Educational Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,100000
Success Music & Drama Institution,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,160000
The Molteno Project,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,280000
The Original Arts Company,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,80000
Vaal Juvenile Troops,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,50000
Victor Sonqoba Theatre Company,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,300000
Vukani Community Theatres,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,200000
Yakhanani Performing Arts Project/Group,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,150000
Youth for Change,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,100000
Zakheni SA Music Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,344000
Zanendaba Storytellers,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",GAUTENG,272500
 3rd Ear Music,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,191020
 BAT Centre Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,500000
 Clermont Women's Organisation,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,90000
 Conservation Community Forum,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,250000
 Durban Arts Association,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,450000
 Durban Serenade Choral Society,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,264440
 Friends of Music,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,67000
 K-Cap Alive Kids Positive Arts,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,575000
 KwaZulu Natal Arts & Culture Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,750000
 KwaZulu Natal Provincial Craft Development,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,500000
 KwaZulu Natal Youth Orchestra,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,58000
 Opera Africa,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,250000
 Sakhikhono Art Project,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,15000
 Show Business Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,94000
 The Durban African Art Centre,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,45000
 The Steel Drum Foundation,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,100000
 The Valley Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,500000
 Wildlands Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,400000
 Wildlife and Environment Society of South Africa,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,150000
 Zakhele Training Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",KWA-ZULU NATAL,353900
 Dzingahe Drama Association,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",LIMPOPO,20000
 Exploring Creatives,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",LIMPOPO,161000
 How Done Production Company,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",LIMPOPO,100000
 Malamulele Mental Health Society,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",LIMPOPO,90000
 Phomolong Clean & Green Project,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",LIMPOPO,400000
 Polokwane Art Project,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",LIMPOPO,150000
 Soetfontein Rural Development Association I,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",LIMPOPO,500000
 Soetfontein Rural Development Association II,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",LIMPOPO,1000000
 Soetfontein Rural Development Association III,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",LIMPOPO,550000
 Mpumalanga Performing Arts,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",MPUMALANGA,400000
 Apollo Development Association,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",NORTHERN CAPE,403247
 The Sol Plaatjie Education Trust,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",NORTHERN CAPE,95000
Aardklop National Arts Festival,"ARTS, CULTURE AND NATIONAL HERITAGE CATEGORY",NORTH WEST,200000
